clasificacion,,texto,
Falso,Un texto afirma que ,"Un texto afirma que el ex presidente de los Estados Unidos murió y contiene una supuesta imagen de la cuenta de Twitter del canal CNN en donde se muestra el anuncio del supuesto atentado. Sin embargo, todo es falso: el hecho nunca ocurrió y la imagen es trucada.",
Falso,Distintas fuentes of,Distintas fuentes oficiales y alternativas coinciden en que esta sequía es la peor o la segunda peor de las últimas décadas.,
Falso,El papa Francisco ab,El papa Francisco abusó de un chico mexicano de 11 años en la década del 90,
Verdadero,La noticia falsa afi,"La noticia falsa afirma que Jorge Bergoglio abusó de un niño de esa edad. Sí existió una agresión sexual cometida por otro sacerdote, el mexicano Carlos López Valdez, según determinó la Justicia, y ocurrió en la Ciudad de México entre 1994 y 1998.",
Falso,Donald Trump fue aba,Donald Trump fue abatido por espías sirios,
Falso,Un texto afirma que ,"Un texto afirma que el presidente de los Estados Unidos fue asesinado y contiene una supuesta imagen del canal de CNN en donde se muestra al mandatario herido. Sin embargo, el hecho nunca ocurrió y la imagen es trucada.",
Falso,La institución salte,"La institución salteña comenzó a realizar esta operación sin costo desde el 10 de julio último. Esta práctica se realiza gratis en el país desde 2006, cuando se creó el “régimen de contracepción quirúrgica” que estableció por ley la gratuidad de la vasectomía.",
Falso,Ignacio Montoya Carl,Ignacio Montoya Carlotto dijo que le “pagaron por participar en el fraude” para ser nieto de Estela,
Verdadero,Un sitio publicó que,"Un sitio publicó que el nieto recuperado de la presidenta de Abuelas de Plaza de Mayo denunció que recibió dinero para fingir su parentesco. Sin embargo, las declaraciones nunca existieron e Ignacio Montoya Carlotto confirmó a Chequeado que esa información es falsa.",
Falso,"En diciembre último,","En diciembre último, el juez federal procesó a la ex presidenta y pidió al Senado quitarle los fueros para detenerla preventivamente por la causa del encubrimiento del atentado a la AMIA. La discusión del desafuero se dará a fin de año en el Senado.",
Verdadero,Las cifras disponibl,Las cifras disponibles y los estudios de casos muestran que las tasas de muertes de mujeres por abortos disminuyeron luego de reformas legales más permisivas.,
Verdadero,La afirmación del mé,"La afirmación del médico pediatra es falsa. Estudios de diferentes organizaciones internacionales y nacionales demuestran que el preservativo no permite el paso del VIH, ni partículas del tamaño del esperma y tampoco de otras células causantes de enfermedades de transmisión sexual.",
Falso,El caso ocurrió en C,El caso ocurrió en Córdoba y la mujer tendrá que abonar un arancel por no cumplir con una resolución judicial que establece que el padre puede visitar al niño.,
Verdadero,Sobre el total de de,"Sobre el total de delitos que se judicializan, sólo el 1,4% llegan a una condena de cumplimiento efectivo. Si a esto se suman los delitos no denunciados, menos de una de cada 100 personas que cometen un delito van a prisión.",
Falso,Florencia Kirchner d,Florencia Kirchner dijo: “A Macri lo vamos a bajar antes de que termine”,
Verdadero,Una publicación afir,"Una publicación afirma que la hija de la ex jefa de Estado, Cristina Fernández de Kirchner, amenazó en sus redes sociales de derrocar al presidente, Mauricio Macri, antes de que finalice su mandato. Sin embargo, estas declaraciones nunca existieron.",
Falso,Una publicación afir,"Una publicación afirmó que la actriz realizó esa amenaza en una entrevista en Canal 13. Sin embargo, esas declaraciones son falsas y no existieron en ninguna de las notas que dio. Además, Dupláa confirmó a este medio que nunca dijo eso sobre el Presidente.",
Falso,Jesica Cirio dijo qu,Jesica Cirio dijo que Antonia Macri “es una nena malcriada y grosera”,
Falso,Una publicación sost,"Una publicación sostuvo que la modelo dijo esto en un video publicado en sus redes sociales. Sin embargo, el video nunca existió y las declaraciones tampoco fueron emitidas en ninguna de sus redes sociales. Además, Cirio confirmó a este medio que nunca dijo eso.",
Falso,Tinelli dijo que el ,Tinelli dijo que el presidente Macri “es nefasto” y que “arruinó” Ideas del Sur,
Falso,Una publicación sost,"Una publicación sostiene que el conductor de Showmatch criticó al Jefe de Estado y le atribuye la crisis que atravesó con su ex productora. Sin embargo, la declaración nunca existió.",
Falso,Si bien se aceleró l,"Si bien se aceleró la designación de magistrados en los cargos vacantes de la Justicia federal, el promedio de jueces nombrados por año durante la Presidencia de Macri es casi el mismo que durante los dos mandatos de Cristina Fernández de Kirchner. El Consejo de la Magistratura muestra mucha más actividad.",
Falso,Una publicación sost,"Una publicación sostuvo que el comediante dijo esto por su oposición a la gestión de Cambiemos. Sin embargo, esta declaración no existió en ninguna de sus entrevistas y tampoco en los spots humorísticos en contra de Mauricio Macri. Además, Brieva confirmó a este medio que nunca dijo eso.",
Falso,Las emisiones de deu,"Las emisiones de deuda en los primeros dos años de la gestión de Mauricio Macri superaron los US$ 120 mil millones. Si se tiene en cuenta la deuda que pagó el Gobierno nacional, el aumento bruto de la deuda fue de US$ 80 mil millones, pero esto sin contar la nueva deuda 2018 que incluye el acuerdo con el FMI.",
Verdadero,La tasa de homicidio,La tasa de homicidios dolosos se redujo un 22% entre 2015 y 2017. Se trata del tercer año consecutivo de caída de este indicador y se ubica en su nivel más bajo desde 2007.,
Verdadero,Una publicación sost,"Una publicación sostuvo que el actor realizó la amenaza en una entrevista en Canal 13. Sin embargo, esas declaraciones no existieron en ninguna de las notas que el actor dio al canal. Además, Echarri confirmó a este medio que nunca dijo eso contra el Presidente.",
Falso,"Camaño, sobre el sal","Camaño, sobre el salario mínimo: “En el ranking de asalariados en dólares de la región hoy estamos cuartos”",
Falso,La Argentina se ubic,"La Argentina se ubica quinta en la región si se toma el sueldo mínimo en dólares corrientes. Al considerar el nivel de precios que existe en los distintos países, pasa a estar en el segundo lugar, detrás de Paraguay.",
Falso,El proyecto de inter,El proyecto de interrupción voluntaria del embarazo legaliza el aborto hasta el noveno mes,
Falso,La propuesta present,"La propuesta presentada por la Campaña Nacional por el Derecho al Aborto y el proyecto de ley que obtuvo media sanción en la Cámara baja y pasó al Senado legaliza esta práctica hasta la semana 14 inclusive. No existe un plazo límite en los casos ya previstos en el Código Penal de violación, riesgo de vida o salud de la mujer ni en el nuevo supuesto de inviabilidad de vida extrauterina del feto.",
Falso,"Países como Bolivia,","Países como Bolivia, Ecuador o Colombia tienen precios menores y el de la Argentina es similar al del promedio regional. Además, los especialistas consultados señalan que se trata de una situación coyuntural por el aumento del dólar registrado en los últimos meses.",
Falso,El árbitro del parti,El árbitro del partido de la Argentina contra Francia era chileno,
Falso,El árbitro principal,"El árbitro principal del enfrentamiento fue un referee iraní, quien estuvo acompañado por dos jueces de línea del mismo país. Bascuñán era el cuarto árbitro propuesto para la fecha, es decir que estaba como suplente, pero nunca dirigió el partido.",
Falso,Circula en Facebook ,Circula en Facebook una nota donde Jorge Bergoglio realiza afirmaciones en contra del aborto. Las declaraciones existieron y fueron emitidas en febrero de 2016 durante el vuelo de retorno del Papa de una visita oficial a México.,
Falso,El FMI exige liquida,El FMI exige liquidar la ANSES y vender las acciones del Fondo de Garantía,
Verdadero,Si bien en el memora,"Si bien en el memorando oficial el Ministerio de Hacienda de la Nación contempla la venta de activos del FGS, eso no significa que el FMI lo exija y tampoco que la ANSES deje de funcionar.",
Falso,El Municipio bonaere,"El Municipio bonaerense determinó un aumento en las tarifas del colectivo y a partir del 1 de julio el pasaje mínimo costará 18,95 pesos. Actualmente es la ciudad con el boleto más caro del país si se la compara con los centros urbanos.",
Falso,Malena Galmarini ame,Malena Galmarini amenazó con “romperle los dientes” a Margarita Barrientos,
Verdadero,El sitio Modo Notici,"El sitio Modo Noticias publicó una nota en la que afirma que la actual concejala de Tigre había criticado a la dirigente social en el programa radial de Beto Casella. Sin embargo, las declaraciones y el reportaje nunca existieron.",
Falso,Diego Maradona fue d,Diego Maradona fue declarado persona no grata en la Argentina,
Falso,Un sitio viralizó un,"Un sitio viralizó una nota en la que se afirma que el ex futbolista fue nombrado de esta manera en nuestro país. Sin embargo, esto es falso, ya que este tipo de declaración se debe determinar a través de una ley y el Congreso de la Nación nunca lo determinó.",
Falso,La titular de Madres,"La titular de Madres de Plaza de Mayo trató de “fascista” y “de derecha” al nutricionista en una de sus marchas de los jueves, y lo acusó de intervenir en la decisión de los menúes escolares de la Provincia de Buenos Aires. El doctor lo negó y la trató de “ladrona”.",
Verdadero,El oficialismo prese,El oficialismo presentó en abril último en la Cámara de Senadores tres proyectos de ley que apuntan a modificar el mercado de trabajo. Uno de ellos contempla una amnistía para los empleadores.,
Falso,Echaron al director ,Echaron al director del Garrahan esta semana,
Verdadero,La noticia falsa señ,"La noticia falsa señala que uno de los directores del hospital, Oscar Trotta, fue despedido esta semana. Sin embargo, Trotta fue desplazado como miembro del Consejo de Administración en mayo de 2017, cuando su mandato ya estaba vencido.",
Falso,El Presidente dejó c,"El Presidente dejó clara su postura sobre el aborto en varias oportunidades. En la apertura de sesiones del Congreso dijo que permitiría la discusión este año, pero que él estaba en contra de la interrupción voluntaria del embarazo.",
Falso,Máximo Kirchner dijo,Máximo Kirchner dijo que será candidato a Presidente en 2019,
Verdadero,Circula en redes una,"Circula en redes una noticia sobre una supuesta declaración del diputado por el Frente para la Victoria. Sin embargo, no hay ninguna entrevista donde el titular de La Cámpora haya afirmado esto y, además, los supuestos dichos textuales que se citan son de una columna de humor político.",
